"name","teams","minutes","fifa","APM","AugAPM","AugAPMSE"
"Timm Klose","Norwich City",797,77,-0.00493344315663535,0.0255308386938628,0.098658920783223
"Gareth McAuley","West Bromwich Albion",3232,75,0.00169084733509928,0.0254658501366831,0.0967486732648504
"Miguel Layún","Watford",135,75,0.0203510337021663,0.02511638269239,0.0989677546454756
"Jeremain Lens","Sunderland",1398,79,-0.0150019267242307,0.0247560608876522,0.0947320526902412
"Chancel Mbemba","Newcastle United",3086,77,-0.000580094018435019,0.0246055612038921,0.0918121965367646
"Kevin Mirallas","Everton",1157,80,-0.0309098640467957,0.0210802881531628,0.0968680336193888
"Paul Dummett","Newcastle United",1988,69,0.0681186648152029,0.021018881309174,0.0945318872082139
"Almen Abdi","Watford",2038,73,0.0232011437683089,0.0208087040515751,0.0979055490355703
"Jefferson Montero","Swansea City",1427,77,-0.00169109775896811,0.0207301687707034,0.0962192987577695
"Jordan Amavi","Aston Villa",892,75,0.0128568689261799,0.0203215362679818,0.099926699981323
"Sébastien Pocognoli","West Bromwich Albion",40,75,0.0139042139112589,0.0200947484865791,0.100130878938705
"Luke Shaw","Manchester United",474,77,0.00309449890270704,0.018766046954748,0.0965616858625093
"Darren Fletcher","West Bromwich Albion",3560,75,-0.0133544460778022,0.0187370728809842,0.0924543105443216
"Graziano Pellè","Southampton",2306,77,-0.0125050406152766,0.0185754067724352,0.092663882201876
"Ashley Williams","Swansea City",3424,80,-0.0420554841806368,0.0183339709725513,0.0948072839097197
"Chris Brunt","West Bromwich Albion",1899,73,0.0128477993589397,0.0177854362695375,0.0934594245350569
"Ramires Santos do Nascimen.","Chelsea",650,80,-0.023442736987518,0.0175257856632857,0.0984753717132841
"Ross Barkley","Everton",3111,79,-0.0170002348698428,0.0174138394609696,0.096770665829969
"Nacer Chadli","Tottenham Hotspur",1053,79,-0.0261876270373795,0.0173129361980386,0.096989086629378
"Dieumerci Mbokani","Norwich City",1674,79,-0.0377037888433078,0.0172426608137464,0.0942801233973379
"Loïc Rémy","Chelsea",313,81,-0.047617022239684,0.0171126030279541,0.0995830467342047
"Nordin Amrabat","Watford",549,78,-0.0187726998776413,0.0165848110388734,0.098557631392968
"Charlie Adam","Stoke City",1115,75,0.0110580041460006,0.0163143774040779,0.0943412277261435
"Jay Rodriguez","Southampton",388,77,-0.0118607385121731,0.0161835340455254,0.101376503269955
"Steven Taylor","Newcastle United",854,76,-0.00278523530505401,0.0158314412582866,0.0956479318719394
"Bertrand Traoré","Chelsea",348,74,0.0219582150078721,0.0155162538580333,0.0968924803289957
"Jores Okore","Aston Villa",1139,77,-0.00295656161001897,0.0151916905544618,0.0951412800422144
"Stephen Ireland","Stoke City",292,75,0.00755469032415336,0.0142925063101188,0.100370503145761
"Russell Martin","Norwich City",2742,73,0.00253681553209979,0.0140011683165732,0.0940503573082623
"Libor Kozák","Aston Villa",273,74,0.0181964830180272,0.0139732490132626,0.0978973308910107
"Mathieu Debuchy","Arsenal",144,80,-0.0382323980712665,0.013604978244962,0.0972619799960634
"Jon Flanagan","Liverpool",437,72,0.0320203591888399,0.0131194779392448,0.0960381677674202
"Adam Matthews","Sunderland",42,74,0.0187737570181215,0.0126893231140242,0.0988840765240102
"Mathieu Flamini","Arsenal",1055,76,0.00388102417311113,0.0121493873268643,0.0942389522842673
"Mohamed Elneny","Arsenal",827,70,0.0477392230878737,0.0119432075168367,0.0978335127521597
"Alessandro Diamanti","Watford",81,75,0.00289096940336225,0.0114124409895678,0.100848505799575
"Éder Macedo Lopes","Swansea City",184,75,0.00390001085471517,0.0105702451511522,0.0987758544293501
"Yoan Gouffran","Newcastle United",257,75,0.0033306887523983,0.0102506527273454,0.0989260491135845
"Jordy Clasie","Southampton",1584,78,-0.026994012174869,0.0102279740767502,0.0914864236193747
"Fabio Borini","Sunderland",1977,76,-0.0170583652019064,0.0101980314441107,0.0911943685440515
"Troy Deeney","Watford",3378,75,-0.0179750464538203,0.0101698796983136,0.0923393342329321
"Nathan Redmond","Norwich City",2382,74,-0.00990427918786967,0.0100684128232051,0.0942901656077186
"Nathan Aké","Watford",1899,69,0.0501752657218475,0.00999574879789827,0.0931913046910333
"Pedro Mba Obiang Avomo","West Ham United",1091,74,0.00523014782763005,0.00987038459792228,0.0958001727173685
"Claudio Yacob","West Bromwich Albion",2980,78,-0.0466440004445731,0.00974779294493463,0.0941216347896338
"Martin Olsson","Norwich City",1887,76,-0.0287576728876447,0.00965545257961238,0.0941206172396261
"Aaron Lennon","Everton",1608,77,-0.00840201489885428,0.00887061826884387,0.0935665494719875
"Alexander Tettey","Norwich City",2018,74,-0.0111126409030093,0.00886433281696363,0.0923691893339788
"Bakary Sako","Crystal Palace",1183,75,-0.00655816879120469,0.00837228487163322,0.0971402508331449
"Charles N'Zogbia","Aston Villa",50,74,0.00796488565812315,0.00778313056007419,0.0999069633109361
"Geoff Cameron","Stoke City",2477,77,-0.0195114701614702,0.00762882038129927,0.0942309874368778
"Steven Pienaar","Everton",145,77,-0.0202928350031757,0.00707736800856868,0.0992588647531601
"Abdul Rahman Baba","Chelsea",1052,78,-0.0214464213277051,0.00660654755806074,0.0952693262303786
"Jason Puncheon","Crystal Palace",2723,75,-0.0112156801682211,0.0064969423448861,0.0940424612994265
"Gylfi Sigurðsson","Swansea City",3068,78,-0.0344323463107352,0.00583165680019997,0.0955261275177081
"Pape Souaré","Crystal Palace",3178,76,-0.0177789566833843,0.00570618903909745,0.0941452470863773
"Erik Pieters","Stoke City",3255,74,0.0100730963405575,0.00508940583429378,0.0947699825142214
"Henri Saivet","Newcastle United",161,77,-0.0216741875830026,0.00435045786655723,0.102429018500506
"Martin Kelly","Crystal Palace",1057,74,-0.00382556582176739,0.00412553025922384,0.0960525752370633
"Martin Škrtel","Liverpool",1995,81,-0.0648276354462614,0.00407891139505891,0.0931282673742328
"Alberto Paloschi","Swansea City",691,77,-0.0213114212146381,0.0040738910711472,0.0978573435402097
"Valon Behrami","Watford",1252,76,-0.0202554442215895,0.00395118613059044,0.0909968272350055
"Cameron Jerome","Norwich City",1775,75,-0.0205964469650327,0.00360332189288077,0.0922390239419544
"Adama Traoré","Aston Villa",239,75,-0.00279582710883329,0.00350385189068108,0.100943404733317
"Joel Ward","Crystal Palace",2839,76,-0.0205368423190038,0.00327609522929469,0.0959642350495196
"Michail Antonio","West Ham United",2061,74,0.00222057485135159,0.00314985711973332,0.0913432030219451
"Peter Odemwingie","Stoke City",123,75,-0.00835776731616832,0.00205624614090856,0.101525362071068
"Emre Can","Liverpool",2625,75,0.0138123796952315,0.00171050662849398,0.0962434681897987
"John Stones","Everton",2840,77,-0.0163873094262623,0.00149903452017851,0.0953249881640283
"Víctor Ibarbo","Watford",85,75,-0.0111413681141537,0.000762538571727732,0.0964234781541379
"Steven Berghuis","Watford",268,75,-0.00763476469491106,0.000301458113198855,0.0996552342967189
"Yann M'Vila","Sunderland",3357,78,-0.0475232832853468,0.000173475047317421,0.0929051325418351
"Cristian Gamboa","West Bromwich Albion",32,74,0.000154547560895879,4.21172057781062e-05,0.100988304262638
"Rickie Lambert","West Bromwich Albion",709,75,-0.0190278795723434,-0.000487327952788137,0.0987798022345015
"Kevin Nolan","West Ham United",62,75,-0.0109474561715583,-0.000526288359422111,0.1001889636785
"Jonjo Shelvey","Swansea City,Newcastle United",2389,77,-0.0335494998576342,-0.000562325495685193,0.0925773126810171
"Carlos Sánchez","Aston Villa",1446,77,-0.0303664208036454,-0.000911668347032417,0.094157381082822
"Callum McManaman","West Bromwich Albion",323,73,0.00479116694099893,-0.000916590498599743,0.101970010171388
"Ben Davies","Tottenham Hotspur",1373,76,-0.0163994404369304,-0.000929972281316665,0.095686829376597
"Gökhan Inler","Leicester City",205,80,-0.0682457025990771,-0.00129349391846807,0.102784722258939
"Àngel Rangel Zaragoza","Swansea City",1916,76,-0.0242742057589415,-0.0014369810699185,0.0961011426519208
"Jonathan Walters","Stoke City",1842,71,0.0223492210892167,-0.00183909374236111,0.0966320154437792
"Aleksandar Mitrović","Newcastle United",2237,76,-0.0250506323553181,-0.00300149132215168,0.092716221148313
"Nemanja Matić","Chelsea",2308,84,-0.0514988154286563,-0.00333562297708563,0.0939521246490433
"Enner Valencia","West Ham United",984,76,-0.0282293598789818,-0.00370930651530383,0.0920372428125184
"Ola Toivonen","Sunderland",687,75,-0.0178655824222587,-0.00442997487090646,0.0985373645671437
"Leighton Baines","Everton",1570,83,-0.0789904152721305,-0.00544585922769768,0.0980509408631578
"Adnan Januzaj","Manchester United",161,75,-0.0120112272108644,-0.00571787824335722,0.0971379710366285
"Jan Kirchhoff","Sunderland",1111,74,-0.0109057790223632,-0.00619465574926549,0.0962926782072036
"Fabian Delph","Manchester City",846,77,-0.0273963572350121,-0.0062181416785409,0.0995087152197805
"Carl Jenkinson","West Ham United",1282,74,-0.0154051519732282,-0.00626586504031097,0.0923490292250953
"Ashley Young","Manchester United",1129,80,-0.0463080476793414,-0.00684593819093938,0.0968642724056904
"José Manuel Jurado Marín","Watford",2062,75,-0.0300478282352533,-0.00690666982502656,0.0932630917413577
"Yohan Benalouane","Leicester City",92,75,-0.0190526372104859,-0.00702130732022907,0.100984589966666
"Damien Delaney","Crystal Palace",3039,74,-0.0193704458362638,-0.00702899993614715,0.0947327251013225
"Brede Hangeland","Crystal Palace",667,73,-0.00353099316412537,-0.00709836622900048,0.0968600144541425
"Gary Hooper","Norwich City",20,74,-0.0121937668572761,-0.00716900694272349,0.0982942052426147
"Youssouf Mulumbu","Norwich City",386,78,-0.0538712007385897,-0.00747557477066592,0.0961954928335296
"Nathan Dyer","Swansea City,Leicester City",249,76,-0.0314240429159962,-0.0081111037092648,0.0980250012830608
"James Morrison","West Bromwich Albion",1405,74,-0.0287886387949526,-0.00825714793412193,0.0926308868180063
"Andy King","Leicester City",1176,70,0.00926246836677893,-0.00863914683338672,0.0950229641451888
"Georginio Wijnaldum","Newcastle United",3326,80,-0.0674351575724813,-0.00869742273453171,0.0952359537586125
"Juan Carlos Paredes","Watford",738,71,0.0105123188875199,-0.00905230343300051,0.095212179676157
"Steve Sidwell","Stoke City",16,74,-0.0119540836774784,-0.00954795921849316,0.101977896380362
